order_id,courier_id,zone_id,date_id,delivery_date,scheduled_hour,distance_km,sla_target_minutes,actual_time_minutes,delivery_status,failure_reason_id,attempt_number,sla_breached
ORD-00037,4,2,550,2025-07-03,15,6.29,75,59,Failed,3.0,2,
ORD-00038,17,3,480,2025-04-24,16,21.4,75,100,Delivered,,1,True
ORD-00039,36,1,670,2025-10-31,9,15.47,75,71,Delivered,,1,False
ORD-00040,10,9,351,2024-12-16,8,9.62,90,78,Delivered,,1,False
ORD-00041,10,7,100,2024-04-09,10,12.55,90,45,Delivered,,1,False
ORD-00042,3,6,537,2025-06-20,10,3.97,90,30,Delivered,,1,False
ORD-00043,23,9,574,2025-07-27,18,14.72,90,71,Delivered,,1,False
ORD-00044,10,4,421,2025-02-24,17,20.99,75,97,Delivered,,1,True
ORD-00045,27,1,582,2025-08-04,10,7.73,75,94,Delivered,,1,True
ORD-00046,27,11,362,2024-12-27,17,8.08,75,74,Failed,3.0,2,
ORD-00047,25,1,386,2025-01-20,17,18.39,75,129,Failed,8.0,1,
ORD-00048,23,5,326,2024-11-21,17,17.8,75,82,Delivered,,1,True
ORD-00049,2,11,23,2024-01-23,10,16.1,75,163,Failed,2.0,2,
ORD-00050,23,11,92,2024-04-01,13,17.56,75,252,Delivered,,1,True
ORD-00051,35,6,29,2024-01-29,19,4.1,90,22,Delivered,,1,False
ORD-00052,17,3,479,2025-04-23,14,11.36,75,53,Failed,2.0,1,
ORD-00053,23,12,249,2024-09-05,17,2.57,75,21,Delivered,,1,False
ORD-00054,33,2,374,2025-01-08,12,10.44,75,52,Delivered,,2,False
ORD-00055,34,9,681,2025-11-11,15,17.95,90,88,Delivered,,1,False
ORD-00056,13,6,199,2024-07-17,12,7.62,90,69,Delivered,,1,False
ORD-00057,40,6,317,2024-11-12,15,7.41,90,51,Delivered,,1,False
ORD-00058,20,9,570,2025-07-23,11,16.48,90,70,Delivered,,1,False
ORD-00059,19,9,184,2024-07-02,10,3.44,90,15,Delivered,,1,False
ORD-00060,25,11,68,2024-03-08,16,4.64,75,36,Delivered,,1,False
ORD-00061,20,7,230,2024-08-17,14,21.91,90,68,Delivered,,1,False
ORD-00062,14,7,132,2024-05-11,17,4.56,90,15,Delivered,,1,False
ORD-00063,30,8,694,2025-11-24,12,20.69,90,89,Delivered,,1,False
ORD-00064,11,11,610,2025-09-01,9,8.98,75,83,Delivered,,1,True
ORD-00065,40,6,477,2025-04-21,9,9.6,90,71,Failed,1.0,2,
ORD-00066,10,1,658,2025-10-19,9,9.24,75,66,Delivered,,1,False
ORD-00067,5,8,606,2025-08-28,12,15.38,90,56,Delivered,,1,False
ORD-00068,25,8,151,2024-05-30,12,13.33,90,50,Delivered,,1,False
ORD-00069,1,2,673,2025-11-03,16,5.42,75,32,Failed,7.0,1,
ORD-00070,34,8,401,2025-02-04,9,9.23,90,43,Delivered,,1,False
ORD-00071,8,8,609,2025-08-31,10,6.73,90,18,Delivered,,1,False
ORD-00072,36,10,675,2025-11-05,11,2.7,90,15,Delivered,,1,False
ORD-00073,40,12,252,2024-09-08,18,4.73,75,22,Delivered,,1,False
ORD-00074,36,8,93,2024-04-02,18,17.1,90,41,Delivered,,1,False
ORD-00075,29,5,183,2024-07-01,16,12.94,75,69,Delivered,,1,False
ORD-00076,34,8,326,2024-11-21,14,11.88,90,52,Delivered,,1,False
ORD-00077,19,4,617,2025-09-08,11,7.92,75,37,Delivered,,1,False
ORD-00078,6,3,649,2025-10-10,10,16.53,75,105,Delivered,,1,True
ORD-00079,14,2,6,2024-01-06,12,5.45,75,21,Delivered,,1,False
ORD-00080,27,1,375,2025-01-09,10,19.9,75,171,Delivered,,1,True
ORD-00081,38,12,321,2024-11-16,8,12.8,75,57,Delivered,,1,False
ORD-00082,25,8,178,2024-06-26,8,4.08,90,23,Delivered,,1,False
ORD-00083,25,7,101,2024-04-10,13,12.27,90,41,Delivered,,1,False
ORD-00084,39,4,267,2024-09-23,13,10.76,75,59,Delivered,,1,False
ORD-00085,2,7,701,2025-12-01,12,13.6,90,42,Delivered,,1,False
ORD-00086,11,8,255,2024-09-11,18,12.73,90,52,Delivered,,1,False
ORD-00087,26,10,383,2025-01-17,14,17.75,90,120,Failed,1.0,2,
ORD-00088,12,1,529,2025-06-12,11,16.06,75,137,Failed,1.0,2,
ORD-00089,25,5,286,2024-10-12,16,9.94,75,44,Delivered,,1,False
ORD-00090,6,8,716,2025-12-16,8,15.22,90,52,Failed,3.0,1,
ORD-00091,15,11,711,2025-12-11,9,20.22,75,213,Delivered,,2,True
ORD-00092,2,10,201,2024-07-19,10,21.56,90,113,Delivered,,1,True
ORD-00093,8,10,365,2024-12-30,19,14.27,90,84,Delivered,,1,False
ORD-00094,24,3,239,2024-08-26,14,19.13,75,102,Delivered,,1,True
ORD-00095,11,5,226,2024-08-13,9,21.61,75,92,Delivered,,1,True
ORD-00096,37,11,33,2024-02-02,18,17.77,75,141,Delivered,,1,True
ORD-00097,13,2,458,2025-04-02,14,5.26,75,49,Delivered,,1,False
ORD-00098,7,12,368,2025-01-02,16,1.95,75,17,Delivered,,1,False
ORD-00099,8,10,46,2024-02-15,16,1.79,90,15,Delivered,,1,False
ORD-00100,24,2,221,2024-08-08,13,8.98,75,76,Delivered,,2,True
ORD-00101,28,6,682,2025-11-12,15,8.52,90,52,Delivered,,1,False
ORD-00102,10,7,192,2024-07-10,10,2.93,90,15,Delivered,,1,False
ORD-00103,18,10,120,2024-04-29,17,12.17,90,110,Delivered,,1,True
ORD-00104,30,7,360,2024-12-25,17,11.95,90,38,Delivered,,1,False
ORD-00105,16,2,724,2025-12-24,11,9.66,75,35,Delivered,,1,False
ORD-00106,30,10,194,2024-07-12,14,8.38,90,69,Delivered,,1,False
ORD-00107,32,6,506,2025-05-20,10,19.41,90,115,Delivered,,1,True
ORD-00108,17,6,575,2025-07-28,11,13.55,90,111,Delivered,,1,True
ORD-00109,18,9,191,2024-07-09,8,10.55,90,44,Failed,1.0,1,
ORD-00110,32,9,549,2025-07-02,16,11.96,90,78,Delivered,,1,False
ORD-00111,32,8,290,2024-10-16,17,15.71,90,47,Delivered,,1,False
ORD-00112,26,12,476,2025-04-20,11,5.38,75,31,Delivered,,1,False
ORD-00113,31,9,477,2025-04-21,13,18.75,90,100,Delivered,,1,True
ORD-00114,36,6,398,2025-02-01,12,14.71,90,48,Delivered,,1,False
ORD-00115,17,4,78,2024-03-18,10,18.48,75,120,Delivered,,1,True
ORD-00116,35,12,631,2025-09-22,10,6.81,75,38,Delivered,,1,False
ORD-00117,18,12,254,2024-09-10,14,5.9,75,29,Delivered,,1,False
ORD-00118,19,2,151,2024-05-30,17,5.62,75,28,Delivered,,1,False
ORD-00119,12,5,37,2024-02-06,8,8.42,75,37,Delivered,,2,False
ORD-00120,19,12,444,2025-03-19,19,11.27,75,55,Delivered,,1,False
ORD-00121,32,2,510,2025-05-24,18,2.1,75,15,Delivered,,1,False
ORD-00122,31,8,15,2024-01-15,12,9.61,90,35,Delivered,,1,False
ORD-00123,31,2,376,2025-01-10,17,19.27,75,142,Delivered,,1,True
ORD-00124,37,11,182,2024-06-30,15,19.08,75,177,Failed,1.0,1,
ORD-00125,20,2,486,2025-04-30,20,15.77,75,100,Delivered,,1,True
ORD-00126,27,10,142,2024-05-21,14,10.55,90,58,Delivered,,2,False
ORD-00127,29,5,520,2025-06-03,17,4.08,75,30,Delivered,,1,False
ORD-00128,40,1,304,2024-10-30,14,19.22,75,179,Failed,4.0,1,
ORD-00129,14,5,697,2025-11-27,15,14.2,75,80,Delivered,,1,True
ORD-00130,36,2,114,2024-04-23,10,10.35,75,66,Delivered,,1,False
ORD-00131,39,8,269,2024-09-25,11,10.98,90,51,Delivered,,1,False
ORD-00132,19,12,96,2024-04-05,17,11.47,75,65,Delivered,,1,False
ORD-00133,17,11,690,2025-11-20,14,17.59,75,188,Delivered,,1,True
ORD-00134,28,2,662,2025-10-23,14,12.87,75,80,Delivered,,2,True
ORD-00135,4,3,206,2024-07-24,17,21.35,75,159,Delivered,,1,True
ORD-00136,37,5,497,2025-05-11,12,18.13,75,62,Delivered,,1,False
ORD-00137,26,5,617,2025-09-08,13,11.09,75,57,Delivered,,1,False
ORD-00138,39,1,415,2025-02-18,18,18.52,75,84,Delivered,,1,True
ORD-00139,17,1,393,2025-01-27,9,18.97,75,150,Delivered,,1,True
ORD-00140,37,10,193,2024-07-11,19,5.54,90,38,Delivered,,1,False
ORD-00141,18,10,80,2024-03-20,8,7.28,90,58,Delivered,,2,False
ORD-00142,18,3,676,2025-11-06,20,4.75,75,36,Delivered,,1,False
ORD-00143,32,2,677,2025-11-07,13,4.22,75,22,Delivered,,1,False
ORD-00144,7,3,477,2025-04-21,12,10.79,75,69,Delivered,,1,False
ORD-00145,26,9,268,2024-09-24,8,17.15,90,82,Delivered,,1,False
ORD-00146,21,2,275,2024-10-01,19,17.69,75,121,Delivered,,1,True
ORD-00147,1,11,547,2025-06-30,17,3.82,75,25,Delivered,,1,False
ORD-00148,13,9,675,2025-11-05,12,10.46,90,60,Delivered,,1,False
ORD-00149,29,1,670,2025-10-31,10,16.74,75,169,Failed,2.0,2,
ORD-00150,32,2,588,2025-08-10,8,5.0,75,22,Delivered,,1,False
ORD-00151,16,12,483,2025-04-27,10,13.3,75,53,Delivered,,2,False
ORD-00152,8,8,73,2024-03-13,19,5.0,90,23,Delivered,,1,False
ORD-00153,32,12,132,2024-05-11,11,18.98,75,78,Delivered,,1,True
ORD-00154,31,8,676,2025-11-06,11,11.58,90,65,Delivered,,1,False
ORD-00155,13,10,456,2025-03-31,13,8.33,90,69,Failed,1.0,2,
ORD-00156,27,6,9,2024-01-09,19,13.92,90,84,Failed,8.0,2,
ORD-00157,38,10,87,2024-03-27,20,16.17,90,120,Delivered,,1,True
ORD-00158,29,9,500,2025-05-14,13,15.93,90,104,Delivered,,1,True
ORD-00159,35,7,5,2024-01-05,13,10.72,90,38,Delivered,,1,False
ORD-00160,16,10,131,2024-05-10,12,21.12,90,112,Delivered,,1,True
ORD-00161,3,6,409,2025-02-12,16,20.6,90,145,Delivered,,1,True
ORD-00162,25,7,521,2025-06-04,20,12.54,90,51,Delivered,,1,False
ORD-00163,10,8,491,2025-05-05,19,5.79,90,20,Delivered,,1,False
ORD-00164,38,6,180,2024-06-28,17,6.45,90,43,Delivered,,1,False
ORD-00165,7,9,536,2025-06-19,18,9.29,90,55,Delivered,,1,False
ORD-00166,27,11,190,2024-07-08,19,21.6,75,213,Delivered,,1,True
ORD-00167,17,6,257,2024-09-13,14,10.77,90,54,Delivered,,1,False
ORD-00168,22,11,563,2025-07-16,17,2.48,75,21,Delivered,,1,False
ORD-00169,32,9,489,2025-05-03,8,13.2,90,65,Delivered,,1,False
ORD-00170,19,4,641,2025-10-02,16,4.57,75,26,Delivered,,1,False
ORD-00171,7,8,495,2025-05-09,10,6.7,90,29,Delivered,,1,False
ORD-00172,3,6,427,2025-03-02,17,1.74,90,15,Delivered,,1,False
ORD-00173,28,3,81,2024-03-21,11,7.84,75,37,Delivered,,1,False
ORD-00174,12,3,290,2024-10-16,10,21.71,75,97,Delivered,,1,True
ORD-00175,40,11,212,2024-07-30,11,4.17,75,36,Delivered,,1,False
ORD-00176,15,8,195,2024-07-13,15,13.55,90,34,Delivered,,1,False
ORD-00177,1,8,717,2025-12-17,18,19.18,90,106,Delivered,,1,True
ORD-00178,5,8,308,2024-11-03,19,6.56,90,22,Delivered,,1,False
ORD-00179,28,12,673,2025-11-03,11,1.95,75,15,Delivered,,1,False
ORD-00180,25,8,474,2025-04-18,9,9.99,90,45,Delivered,,1,False
ORD-00181,37,5,599,2025-08-21,20,5.74,75,37,Failed,2.0,1,
ORD-00182,26,5,368,2025-01-02,8,5.18,75,27,Delivered,,1,False
ORD-00183,4,10,433,2025-03-08,16,13.08,90,107,Delivered,,1,True
ORD-00184,19,4,362,2024-12-27,14,3.91,75,25,Delivered,,1,False
ORD-00185,13,10,158,2024-06-06,11,15.31,90,89,Delivered,,1,False
ORD-00186,9,11,544,2025-06-27,9,15.74,75,166,Delivered,,1,True
ORD-00187,20,8,223,2024-08-10,8,20.87,90,71,Delivered,,1,False
ORD-00188,6,5,22,2024-01-22,11,14.68,75,63,Delivered,,1,False
ORD-00189,9,9,486,2025-04-30,18,21.11,90,116,Delivered,,1,True
ORD-00190,18,3,144,2024-05-23,11,21.22,75,172,Delivered,,1,True
ORD-00191,19,12,699,2025-11-29,17,7.04,75,41,Failed,8.0,1,
ORD-00192,10,4,706,2025-12-06,17,6.68,75,37,Delivered,,1,False
ORD-00193,26,9,685,2025-11-15,12,12.16,90,44,Delivered,,1,False
ORD-00194,17,9,291,2024-10-17,10,1.81,90,15,Delivered,,1,False
ORD-00195,17,10,14,2024-01-14,12,7.28,90,37,Delivered,,1,False
ORD-00196,7,11,693,2025-11-23,11,5.01,75,58,Delivered,,1,False
ORD-00197,36,6,327,2024-11-22,18,15.95,90,65,Delivered,,1,False
ORD-00198,30,12,713,2025-12-13,11,14.83,75,81,Delivered,,2,True
ORD-00199,32,2,712,2025-12-12,9,1.56,75,15,Delivered,,1,False
ORD-00200,25,8,644,2025-10-05,12,20.52,90,119,Delivered,,1,True
ORD-00201,35,7,234,2024-08-21,14,16.27,90,55,Delivered,,1,False
ORD-00202,27,11,303,2024-10-29,9,3.38,75,37,Delivered,,1,False
ORD-00203,18,1,642,2025-10-03,15,6.25,75,47,Delivered,,1,False
ORD-00204,16,6,250,2024-09-06,9,18.11,90,77,Delivered,,1,False
ORD-00205,23,1,138,2024-05-17,12,11.11,75,137,Delivered,,1,True
ORD-00206,30,2,417,2025-02-20,15,5.31,75,44,Delivered,,1,False
ORD-00207,2,1,697,2025-11-27,17,21.88,75,217,Delivered,,1,True
ORD-00208,37,4,524,2025-06-07,9,4.99,75,25,Delivered,,1,False
ORD-00209,38,4,428,2025-03-03,17,10.2,75,48,Delivered,,1,False
ORD-00210,10,10,83,2024-03-23,8,7.25,90,63,Delivered,,1,False
ORD-00211,9,9,463,2025-04-07,11,4.64,90,33,Failed,1.0,1,
ORD-00212,9,1,726,2025-12-26,12,13.72,75,167,Delivered,,2,True
ORD-00213,4,3,116,2024-04-25,16,5.3,75,37,Delivered,,2,False
ORD-00214,24,9,382,2025-01-16,14,15.6,90,85,Delivered,,1,False
ORD-00215,40,1,662,2025-10-23,16,6.67,75,83,Delivered,,1,True
ORD-00216,34,5,558,2025-07-11,13,20.43,75,93,Delivered,,2,True
ORD-00217,7,8,525,2025-06-08,16,10.77,90,46,Delivered,,2,False
ORD-00218,5,3,529,2025-06-12,11,10.24,75,53,Delivered,,1,False
ORD-00219,21,7,283,2024-10-09,20,1.96,90,15,Delivered,,1,False
ORD-00220,33,10,233,2024-08-20,12,17.52,90,122,Delivered,,1,True
ORD-00221,36,12,611,2025-09-02,17,14.52,75,91,Delivered,,1,True
ORD-00222,15,7,611,2025-09-02,12,1.87,90,15,Delivered,,1,False
ORD-00223,7,6,655,2025-10-16,12,17.64,90,151,Failed,2.0,1,
ORD-00224,31,2,684,2025-11-14,9,4.29,75,34,Failed,3.0,2,
ORD-00225,9,9,376,2025-01-10,9,19.5,90,128,Delivered,,1,True
ORD-00226,8,7,367,2025-01-01,12,15.32,90,62,Delivered,,1,False
ORD-00227,28,12,602,2025-08-24,9,15.01,75,86,Delivered,,1,True
ORD-00228,23,2,489,2025-05-03,14,12.03,75,97,Failed,2.0,2,
ORD-00229,23,9,529,2025-06-12,12,9.46,90,42,Delivered,,1,False
ORD-00230,15,7,600,2025-08-22,17,20.25,90,50,Delivered,,1,False
ORD-00231,40,11,672,2025-11-02,15,14.79,75,130,Delivered,,1,True
ORD-00232,18,1,267,2024-09-23,10,9.82,75,105,Delivered,,1,True
ORD-00233,22,6,296,2024-10-22,8,2.88,90,17,Failed,5.0,1,
ORD-00234,5,3,81,2024-03-21,16,18.48,75,73,Delivered,,2,False
ORD-00235,30,6,435,2025-03-10,10,14.95,90,125,Delivered,,1,True
ORD-00236,37,10,32,2024-02-01,9,11.45,90,92,Failed,7.0,1,
ORD-00237,4,11,347,2024-12-12,9,19.95,75,211,Delivered,,1,True
ORD-00238,32,10,404,2025-02-07,12,7.13,90,41,Delivered,,2,False
ORD-00239,8,5,228,2024-08-15,15,7.38,75,29,Delivered,,1,False
ORD-00240,20,1,444,2025-03-19,11,19.15,75,130,Failed,3.0,2,
ORD-00241,9,5,28,2024-01-28,11,5.04,75,22,Failed,1.0,1,
ORD-00242,12,3,33,2024-02-02,12,7.03,75,42,Delivered,,1,False
ORD-00243,36,11,620,2025-09-11,17,19.64,75,119,Delivered,,1,True
ORD-00244,3,7,284,2024-10-10,8,11.0,90,36,Delivered,,2,False
ORD-00245,26,12,106,2024-04-15,15,17.14,75,100,Delivered,,2,True
ORD-00246,40,8,386,2025-01-20,17,18.87,90,67,Delivered,,1,False
ORD-00247,28,2,581,2025-08-03,11,9.76,75,84,Delivered,,1,True
ORD-00248,6,7,173,2024-06-21,17,16.68,90,58,Delivered,,1,False
ORD-00249,22,3,469,2025-04-13,9,12.36,75,41,Delivered,,1,False
ORD-00250,33,4,74,2024-03-14,18,12.17,75,73,Delivered,,1,False
ORD-00251,10,4,46,2024-02-15,9,10.08,75,78,Delivered,,1,True
ORD-00252,39,3,394,2025-01-28,16,19.16,75,64,Failed,2.0,1,
ORD-00253,32,8,402,2025-02-05,16,9.86,90,47,Delivered,,1,False
ORD-00254,37,11,480,2025-04-24,15,6.62,75,79,Delivered,,1,True
ORD-00255,21,3,547,2025-06-30,12,19.49,75,94,Delivered,,1,True
ORD-00256,20,5,718,2025-12-18,14,20.18,75,157,Delivered,,1,True
ORD-00257,20,8,381,2025-01-15,13,3.67,90,16,Delivered,,1,False
ORD-00258,19,2,255,2024-09-11,15,20.98,75,174,Failed,1.0,1,
ORD-00259,25,8,600,2025-08-22,14,1.81,90,15,Delivered,,1,False
ORD-00260,3,8,215,2024-08-02,18,21.92,90,73,Delivered,,1,False
ORD-00261,21,10,333,2024-11-28,13,11.8,90,91,Delivered,,1,True
ORD-00262,29,2,69,2024-03-09,17,1.92,75,15,Delivered,,1,False
ORD-00263,6,9,23,2024-01-23,15,7.18,90,44,Delivered,,1,False
ORD-00264,29,8,711,2025-12-11,13,7.31,90,43,Delivered,,1,False
ORD-00265,24,5,631,2025-09-22,12,15.32,75,73,Delivered,,1,False
ORD-00266,39,1,524,2025-06-07,17,2.21,75,15,Delivered,,1,False
ORD-00267,22,2,317,2024-11-12,14,7.43,75,48,Delivered,,1,False
ORD-00268,39,3,141,2024-05-20,12,17.91,75,75,Delivered,,1,False
ORD-00269,23,5,129,2024-05-08,19,13.93,75,87,Delivered,,1,True
ORD-00270,9,10,200,2024-07-18,16,18.46,90,137,Delivered,,1,True
ORD-00271,25,11,410,2025-02-13,17,7.15,75,66,Failed,3.0,1,
ORD-00272,34,2,538,2025-06-21,15,10.71,75,55,Delivered,,1,False
ORD-00273,2,6,497,2025-05-11,11,3.37,90,27,Delivered,,1,False
ORD-00274,32,4,222,2024-08-09,11,5.88,75,25,Delivered,,1,False
ORD-00275,19,2,707,2025-12-07,13,9.96,75,44,Delivered,,1,False
ORD-00276,34,1,556,2025-07-09,15,13.47,75,94,Delivered,,1,True
ORD-00277,9,10,415,2025-02-18,12,10.7,90,85,Failed,1.0,1,
ORD-00278,40,3,460,2025-04-04,16,4.69,75,37,Delivered,,1,False
ORD-00279,16,8,323,2024-11-18,14,10.39,90,35,Delivered,,1,False
ORD-00280,29,4,198,2024-07-16,13,2.23,75,15,Delivered,,1,False
ORD-00281,31,4,281,2024-10-07,12,12.86,75,72,Delivered,,1,False
ORD-00282,30,5,571,2025-07-24,16,15.99,75,58,Delivered,,1,False
ORD-00283,11,4,13,2024-01-13,17,6.67,75,31,Delivered,,1,False
ORD-00284,4,11,98,2024-04-07,13,20.92,75,148,Delivered,,1,True
ORD-00285,7,12,41,2024-02-10,17,11.7,75,58,Delivered,,2,False
ORD-00286,29,9,37,2024-02-06,10,8.17,90,38,Failed,4.0,1,
ORD-00287,29,6,646,2025-10-07,19,12.44,90,79,Delivered,,2,False
ORD-00288,6,6,530,2025-06-13,11,18.07,90,94,Delivered,,1,True
ORD-00289,22,3,352,2024-12-17,10,13.93,75,54,Delivered,,1,False
ORD-00290,31,12,84,2024-03-24,17,13.5,75,58,Delivered,,1,False
ORD-00291,29,10,361,2024-12-26,8,3.28,90,20,Delivered,,2,False
ORD-00292,39,9,352,2024-12-17,12,10.27,90,47,Delivered,,1,False
ORD-00293,20,2,141,2024-05-20,9,6.91,75,37,Delivered,,1,False
ORD-00294,40,8,330,2024-11-25,9,12.14,90,69,Delivered,,1,False
ORD-00295,39,9,311,2024-11-06,8,21.24,90,95,Delivered,,1,True
ORD-00296,10,5,463,2025-04-07,12,11.16,75,68,Delivered,,1,False
ORD-00297,37,7,478,2025-04-22,10,20.52,90,106,Failed,2.0,1,
ORD-00298,5,9,40,2024-02-09,14,6.36,90,26,Delivered,,1,False
ORD-00299,36,1,295,2024-10-21,12,11.84,75,89,Delivered,,2,True
ORD-00300,2,6,471,2025-04-15,17,2.89,90,27,Failed,5.0,1,
ORD-00301,7,10,368,2025-01-02,16,7.43,90,64,Delivered,,2,False
ORD-00302,12,11,647,2025-10-08,13,19.73,75,213,Delivered,,1,True
ORD-00303,12,3,495,2025-05-09,9,12.27,75,70,Delivered,,1,False
ORD-00304,3,5,134,2024-05-13,10,19.61,75,91,Delivered,,1,True
ORD-00305,3,6,63,2024-03-03,19,7.92,90,52,Delivered,,1,False
ORD-00306,35,8,484,2025-04-28,11,6.01,90,20,Delivered,,1,False
ORD-00307,19,6,24,2024-01-24,17,19.25,90,148,Delivered,,1,True
ORD-00308,22,5,440,2025-03-15,10,9.78,75,26,Delivered,,1,False
ORD-00309,26,12,699,2025-11-29,12,8.8,75,37,Delivered,,1,False
ORD-00310,12,8,432,2025-03-07,15,5.11,90,25,Delivered,,1,False
ORD-00311,34,5,305,2024-10-31,17,6.67,75,30,Delivered,,1,False
ORD-00312,28,10,484,2025-04-28,20,9.41,90,97,Delivered,,1,True
ORD-00313,21,2,344,2024-12-09,9,9.52,75,43,Delivered,,1,False
ORD-00314,29,10,407,2025-02-10,16,3.34,90,27,Delivered,,1,False
ORD-00315,23,8,700,2025-11-30,8,13.79,90,59,Delivered,,1,False
ORD-00316,40,7,304,2024-10-30,11,10.35,90,30,Delivered,,1,False
ORD-00317,5,11,710,2025-12-10,15,12.09,75,106,Delivered,,1,True
ORD-00318,11,1,680,2025-11-10,10,4.57,75,21,Delivered,,1,False
ORD-00319,29,1,158,2024-06-06,10,4.03,75,28,Delivered,,1,False
ORD-00320,24,6,62,2024-03-02,12,14.0,90,79,Delivered,,2,False
ORD-00321,24,6,86,2024-03-26,13,5.06,90,55,Delivered,,1,False
ORD-00322,34,6,17,2024-01-17,12,19.02,90,104,Delivered,,1,True
ORD-00323,8,1,81,2024-03-21,16,8.22,75,50,Delivered,,1,False
ORD-00324,36,2,514,2025-05-28,11,11.58,75,42,Delivered,,1,False
ORD-00325,14,10,64,2024-03-04,11,15.26,90,97,Delivered,,1,True
ORD-00326,13,2,253,2024-09-09,10,19.92,75,123,Delivered,,1,True
ORD-00327,29,2,638,2025-09-29,17,17.98,75,171,Delivered,,1,True
ORD-00328,23,12,21,2024-01-21,9,4.11,75,23,Delivered,,1,False
ORD-00329,20,3,614,2025-09-05,16,4.99,75,26,Delivered,,1,False
ORD-00330,12,6,224,2024-08-11,13,6.9,90,40,Delivered,,1,False
ORD-00331,9,4,99,2024-04-08,17,9.93,75,87,Delivered,,1,True
ORD-00332,37,6,525,2025-06-08,13,4.09,90,38,Failed,1.0,1,
ORD-00333,5,5,473,2025-04-17,12,17.34,75,72,Delivered,,1,False
ORD-00334,34,7,662,2025-10-23,16,4.43,90,18,Delivered,,1,False
ORD-00335,9,6,554,2025-07-07,15,7.83,90,72,Delivered,,1,False
ORD-00336,34,6,606,2025-08-28,10,13.11,90,86,Delivered,,1,False
ORD-00337,38,3,224,2024-08-11,16,11.66,75,58,Delivered,,1,False
ORD-00338,4,2,144,2024-05-23,13,3.3,75,29,Failed,7.0,2,
ORD-00339,23,9,566,2025-07-19,18,2.68,90,15,Failed,4.0,2,
ORD-00340,18,3,609,2025-08-31,14,10.46,75,53,Delivered,,1,False
ORD-00341,33,11,726,2025-12-26,10,4.31,75,38,Failed,1.0,1,
ORD-00342,39,6,318,2024-11-13,17,11.27,90,75,Failed,1.0,1,
ORD-00343,6,1,292,2024-10-18,19,11.36,75,115,Delivered,,1,True
ORD-00344,14,10,585,2025-08-07,12,15.58,90,119,Failed,2.0,1,
